Lender,MonthApproved,AVG(JobsReported)
"CACHE VALLEY BANK",APRIL,141.0
"PACIFIC CITY BANK",APRIL,40.0
"NORTHRIM BANK",APRIL,34.0
"FIRST COMMUNITY BANK",APRIL,26.0
"FOUNTAINHEAD SBF LLC",MAY,23.0
B1BANK,APRIL,22.0
"FIRST BANK OF OWASSO",APRIL,20.0
"TRANSPECOS BANKS, SSB.",APRIL,20.0
"FOUNTAINHEAD SBF LLC",JULY,19.5
"COMMONWEALTH BUSINESS BANK",APRIL,17.0
"HORICON BANK",APRIL,17.0
"STATE BANK OF SOUTHERN UTAH",MAY,17.0
"FOUNTAINHEAD SBF LLC",JUNE,16.5
"ACADEMY BANK, NATIONAL ASSOCIATION",APRIL,15.5
"FIRST BANK",APRIL,15.5
"1ST FINANCIAL BANK USA",JUNE,15.0
"AXOS BANK",APRIL,15.0
"CLARE BANK, NATIONAL ASSOCIATION",APRIL,15.0
"KEYBANK NATIONAL ASSOCIATION",MAY,15.0
"MUFG UNION BANK, NATIONAL ASSOCIATION",APRIL,15.0
"UMPQUA BANK",APRIL,14.5
BANCFIRST,APRIL,14.0
"HOMESTREET BANK",MAY,14.0
"ZIONS BANK, A DIVISION OF",APRIL,14.0
"FIRST BANK OF THE LAKE",APRIL,12.5
"CDC SMALL BUSINESS FINANCE CORPORATION",JULY,12.0
"CHARTWAY FCU",APRIL,12.0
"US EAGLE FCU",APRIL,12.0
"AMERICAN AGCREDIT, ACA",APRIL,11.3333333333333
"FIRST HOME BANK",APRIL,11.2
"BANK OF THE PACIFIC",APRIL,11.0
"CALPRIVATE BANK",APRIL,11.0
"TOUCHMARK NATIONAL BANK",APRIL,11.0
"HIAWATHA NATIONAL BANK",MAY,10.0
"BOKF, NATIONAL ASSOCIATION",APRIL,9.0
"MIDAMERICA NATIONAL BANK",APRIL,9.0
"NEWTEK SMALL BUSINESS FINANCE, INC.",MAY,9.0
"SECURITY STATE BANK & TRUST",APRIL,9.0
"KISH BANK",APRIL,8.5
"CELTIC BANK CORPORATION",JUNE,8.44444444444444
"1ST SOURCE BANK",APRIL,8.0
"PACIFIC ENTERPRISE BANK",AUGUST,8.0
"PARKSIDE FINANCIAL BANK & TRUST",APRIL,8.0
"SMALL BUSINESS BANK",APRIL,8.0
"TCF NATIONAL BANK",MAY,8.0
"TERRITORIAL SAVINGS BANK",MAY,8.0
"TOWN BANK, NATIONAL ASSOCIATION",APRIL,8.0
"CITY NATIONAL BANK",APRIL,7.66666666666667
"CELTIC BANK CORPORATION",APRIL,7.21666666666667
"FIRST HORIZON BANK",APRIL,7.0
"FIRST NATIONAL BANK OF PENNSYLVANIA",APRIL,7.0
"HANMI BANK",APRIL,7.0
"NORTHEAST BANK",JULY,7.0
"HOMESTREET BANK",APRIL,6.75
"FIRST HAWAIIAN BANK",APRIL,6.70624151967436
"HAWAII NATIONAL BANK",APRIL,6.61281337047354
"T BANK, NATIONAL ASSOCIATION",APRIL,6.33333333333333
"BANK OF THE WEST",MAY,6.0
"CONNECTIONS BANK",APRIL,6.0
"FARM BUREAU BANK, FSB",APRIL,6.0
"INDEPENDENT BANK",AUGUST,6.0
"ONE FLORIDA BANK",APRIL,6.0
"RURAL COMMUNITY ASSISTANCE CORPORATION",APRIL,6.0
"SEACOAST COMMERCE BANK",APRIL,6.0
"TIAA BANK, A DIVISION OF",JUNE,6.0
"WESTERN ALLIANCE BANK",APRIL,6.0
"AMERICAN SAVINGS BANK, FSB",APRIL,5.93710923133505
"FIRST FOUNDATION BANK",APRIL,5.69230769230769
"NANO BANC",APRIL,5.66666666666667
"STEARNS BANK NATIONAL ASSOCIATION",APRIL,5.66666666666667
"INTUIT FINANCING INC.",JUNE,5.57142857142857
"COMPEER FINANCIAL, ACA",APRIL,5.5
"TERRITORIAL SAVINGS BANK",JUNE,5.5
"OHANA PACIFIC BANK",APRIL,5.20512820512821
"INTUIT FINANCING INC.",JULY,5.16666666666667
"AMERICAN AGCREDIT, ACA",MAY,5.0
"EVOLVE BANK & TRUST",APRIL,5.0
"FIRST REPUBLIC BANK",APRIL,5.0
"FIVE STAR BANK",APRIL,5.0
"FLAGSTAR BANK, FSB",APRIL,5.0
"GLACIER BANK",JULY,5.0
INCREDIBLEBANK,APRIL,5.0
"THE CANANDAIGUA NATIONAL BANK AND TRUST COMPANY",MAY,5.0
"ZIONS BANK, A DIVISION OF",MAY,4.8
"CENTRAL PACIFIC BANK",APRIL,4.73136716963877
"NORTHEAST BANK",JUNE,4.66666666666667
"INTUIT FINANCING INC.",MAY,4.59259259259259
"HAWAII COMMUNITY FCU",APRIL,4.58536585365854
"KABBAGE, INC.",APRIL,4.54545454545455
"GREATER NEVADA CU",APRIL,4.42105263157895
"READYCAP LENDING, LLC",APRIL,4.33333333333333
"GATHER FCU",JULY,4.1
"FIRST HAWAIIAN BANK",MAY,4.05701754385965
"ADDITION FINANCIAL CU",APRIL,4.0
"BBVA USA",APRIL,4.0
"EAST WEST BANK",APRIL,4.0
"FARMERS & MERCHANTS UNION BANK",APRIL,4.0
"FINWISE BANK",APRIL,4.0
"FIRST BANK & TRUST",APRIL,4.0
"FIRST NATIONAL BANK TEXAS",MAY,4.0
"GBC INTERNATIONAL BANK",APRIL,4.0
"HAPPY STATE BANK",APRIL,4.0
"HARVEST SMALL BUSINESS FINANCE, LLC",APRIL,4.0
"LEGACY BANK",APRIL,4.0
"OPPORTUNITY FUND COMMUNITY DEVELOPMENT",MAY,4.0
"INTUIT FINANCING INC.",APRIL,3.77777777777778
"HAWAIIUSA FCU",APRIL,3.75268817204301
"CROSS RIVER BANK",APRIL,3.72413793103448
"HAWAII NATIONAL BANK",MAY,3.6697247706422
"BANK OF AMERICA, NATIONAL ASSOCIATION",JUNE,3.66666666666667
"NORTHEAST BANK",MAY,3.66666666666667
"FARM BUREAU BANK, FSB",MAY,3.5
"TCF NATIONAL BANK",APRIL,3.5
"HAWAII COMMUNITY FCU",MAY,3.48
"GATHER FCU",APRIL,3.43076923076923
"AMERICAN SAVINGS BANK, FSB",MAY,3.42242355605889
"AMERICAN EXPRESS NATIONAL BANK",MAY,3.4
"BANK OF AMERICA, NATIONAL ASSOCIATION",JULY,3.375
"AMERICAN SAVINGS BANK, FSB",JUNE,3.35714285714286
"FIRST HAWAIIAN BANK",JUNE,3.35114503816794
"FIRST COMMAND BANK",APRIL,3.33333333333333
"CROSS RIVER BANK",MAY,3.2781954887218
"NEWTEK SMALL BUSINESS FINANCE, INC.",JULY,3.25
"VALLEY ISLE COMMUNITY FCU",JULY,3.25
"FIRST HOME BANK",JUNE,3.23076923076923
"HAWAII NATIONAL BANK",JULY,3.14285714285714
"BANK OF HAWAII",APRIL,3.10509679968392
"GATHER FCU",MAY,3.08695652173913
"CACHE VALLEY BANK",JULY,3.0
"COMMUNITY COMMERCE BANK",MAY,3.0
"D. L. EVANS BANK",APRIL,3.0
"EVOLVE BANK & TRUST",MAY,3.0
"FIRST COMMAND BANK",MAY,3.0
"INTUIT FINANCING INC.",AUGUST,3.0
"KAUA'I GOVERNMENT EMPLOYEES' FCU",JULY,3.0
"NEWPORT NEWS SHIPBUILDING EMPL CU INC D/B/A BAYPORT CU",APRIL,3.0
"NUMERICA CU",JUNE,3.0
"OPTUS BANK",AUGUST,3.0
"TERRITORIAL SAVINGS BANK",APRIL,3.0
"U.S. BANK, NATIONAL ASSOCIATION",AUGUST,3.0
"GATHER FCU",JUNE,2.9
"HOMESTREET BANK",JUNE,2.9
"MBE CAPITAL PARTNERS",MAY,2.875
"KAUA'I GOVERNMENT EMPLOYEES' FCU",JUNE,2.81818181818182
"AMERICAN EXPRESS NATIONAL BANK",APRIL,2.75
"CUSTOMERS BANK",APRIL,2.75
"MBE CAPITAL PARTNERS",JULY,2.69230769230769
"RADIUS BANK",JUNE,2.66666666666667
"UNITED COMMUNITY BANK",APRIL,2.66666666666667
"CELTIC BANK CORPORATION",MAY,2.65542168674699
"HAWAII FIRST FCU",MAY,2.65217391304348
"HAWAII COMMUNITY FCU",JULY,2.59090909090909
"BANK OF HAWAII",MAY,2.59073359073359
WEBBANK,APRIL,2.56756756756757
"CROSS RIVER BANK",AUGUST,2.56
"HAWAIIUSA FCU",AUGUST,2.56
"HAWAII FIRST FCU",APRIL,2.55172413793103
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",MAY,2.53846153846154
"KAUA'I GOVERNMENT EMPLOYEES' FCU",MAY,2.52173913043478
"FIRST STATE BANK",APRIL,2.5
"HAWAII COMMUNITY FCU",AUGUST,2.45454545454545
"KABBAGE, INC.",MAY,2.43373493975904
"BANK OF AMERICA, NATIONAL ASSOCIATION",MAY,2.42857142857143
"HAWAII NATIONAL BANK",JUNE,2.38461538461538
"HAWAII CENTRAL FCU",APRIL,2.375
"KAUA'I GOVERNMENT EMPLOYEES' FCU",APRIL,2.36585365853659
"CROSS RIVER BANK",JUNE,2.36538461538462
"OHANA PACIFIC BANK",JUNE,2.3
"BANK OF AMERICA, NATIONAL ASSOCIATION",APRIL,2.29411764705882
"GATHER FCU",AUGUST,2.25
"GLACIER BANK",APRIL,2.25
"MBE CAPITAL PARTNERS",JUNE,2.22222222222222
WEBBANK,MAY,2.21551724137931
"CACHE VALLEY BANK",JUNE,2.14285714285714
WEBBANK,JUNE,2.06122448979592
"HAWAIIUSA FCU",MAY,2.05454545454545
"AMERICAN BUSINESS BANK",APRIL,2.0
"AMERICAN LENDING CENTER",JUNE,2.0
"BANK OF THE SIERRA",APRIL,2.0
"BANNER BANK",APRIL,2.0
"CDC SMALL BUSINESS FINANCE CORPORATION",MAY,2.0
"COMMUNITY FIRST NATIONAL BANK",AUGUST,2.0
"CRF SMALL BUSINESS LOAN COMPANY, LLC",JULY,2.0
"CROSS RIVER BANK",JULY,2.0
"ELCA FCU",JUNE,2.0
"HANCOCK WHITNEY BANK",JUNE,2.0
"HAWAIIUSA FCU",JUNE,2.0
"LAKE ELMO BANK",APRIL,2.0
"MECHANICS BANK",APRIL,2.0
"MECHANICS BANK",MAY,2.0
"PINNACLE BANK",MAY,2.0
"RURAL COMMUNITY ASSISTANCE CORPORATION",MAY,2.0
"SANTA CRUZ COUNTY BANK",APRIL,2.0
"SILICON VALLEY BANK",APRIL,2.0
"TEXAS CAPITAL BANK, NATIONAL ASSOCIATION",MAY,2.0
"VIBRANT CU",MAY,2.0
"U.S. BANK, NATIONAL ASSOCIATION",MAY,1.85714285714286
"CUSTOMERS BANK",JUNE,1.84615384615385
WEBBANK,JULY,1.81818181818182
"KABBAGE, INC.",AUGUST,1.7906976744186
"OHANA PACIFIC BANK",MAY,1.77966101694915
"HAWAII NATIONAL BANK",AUGUST,1.66666666666667
"IDAHO FIRST BANK",APRIL,1.66666666666667
"KAUA'I GOVERNMENT EMPLOYEES' FCU",AUGUST,1.66666666666667
"KABBAGE, INC.",JUNE,1.5796178343949
"MBE CAPITAL PARTNERS",AUGUST,1.5625
"FIRST HOME BANK",JULY,1.5
"HAWAIIUSA FCU",JULY,1.5
"RADIUS BANK",JULY,1.5
"SYNOVUS BANK",APRIL,1.5
"U.S. BANK, NATIONAL ASSOCIATION",APRIL,1.5
"U.S. BANK, NATIONAL ASSOCIATION",JUNE,1.5
"KABBAGE, INC.",JULY,1.46242774566474
"COMERICA BANK",APRIL,1.4
"AMERICAN EXPRESS NATIONAL BANK",JUNE,1.33333333333333
"NEWTEK SMALL BUSINESS FINANCE, INC.",JUNE,1.33333333333333
"FIRST FOUNDATION BANK",MAY,1.2
"CENTRAL PACIFIC BANK",JUNE,1.16402116402116
"CENTRAL PACIFIC BANK",MAY,1.15525672371638
"BANK OF HAWAII",JUNE,1.12690355329949
"FC MARKETPLACE, LLC (DBA FUNDING CIRCLE)",JUNE,1.1
"1ST FINANCIAL BANK USA",JULY,1.0
"ALASKA USA FCU",JULY,1.0
"ALLEGACY FCU",AUGUST,1.0
"ALPINE BANK",APRIL,1.0
"ALPINE BANK",JUNE,1.0
"AMERICA'S CHRISTIAN CU",AUGUST,1.0
"AMERICAN LENDING CENTER",AUGUST,1.0
"AMERICAN SAVINGS BANK, FSB",AUGUST,1.0
"AMERICAN SAVINGS BANK, FSB",JULY,1.0
"AXOS BANK",MAY,1.0
BANCFIRST,JUNE,1.0
"BANK OF ALMA",APRIL,1.0
"BANK OF GUAM",APRIL,1.0
"BANK OF HAWAII",AUGUST,1.0
"BANK OF HAWAII",JULY,1.0
"BANK OF SOUTHERN CALIFORNIA, NATIONAL ASSOCIATION",JULY,1.0
BANKVISTA,APRIL,1.0
"BANNER BANK",AUGUST,1.0
"BLACK HILLS COMMUNITY BANK, NATIONAL ASSOCIATION",APRIL,1.0
"CACHE VALLEY BANK",MAY,1.0
"CAPITAL ONE, NATIONAL ASSOCIATION",APRIL,1.0
"CAPITAL ONE, NATIONAL ASSOCIATION",MAY,1.0
"CASCADE COMMUNITY FCU",APRIL,1.0
"CDC SMALL BUSINESS FINANCE CORPORATION",JUNE,1.0
"CENTRAL BANK OF THE MIDWEST",MAY,1.0
"CENTRAL PACIFIC BANK",JULY,1.0
"CITIBANK, N.A.",MAY,1.0
"CITIZENS BANK, NATIONAL ASSOCIATION",APRIL,1.0
"CITIZENS BANK, NATIONAL ASSOCIATION",MAY,1.0
"COAST CENTRAL CU",MAY,1.0
"COASTAL COMMUNITY BANK",APRIL,1.0
"COASTHILLS CU",APRIL,1.0
"COLUMBIA STATE BANK",APRIL,1.0
"COMMUNITY COMMERCE BANK",JUNE,1.0
"CONTINENTAL BANK",MAY,1.0
"COTTONWOOD COMMUNITY FCU",JUNE,1.0
"CRF SMALL BUSINESS LOAN COMPANY, LLC",JUNE,1.0
"CU HAWAII FCU",APRIL,1.0
"CU HAWAII FCU",JUNE,1.0
"CU HAWAII FCU",MAY,1.0
"CUSTOMERS BANK",JULY,1.0
"CUSTOMERS BANK",MAY,1.0
"DUNDEE BANK",APRIL,1.0
"FARM BUREAU BANK, FSB",JUNE,1.0
"FARMERS & MERCHANTS BANK OF LONG BEACH",APRIL,1.0
"FC MARKETPLACE, LLC (DBA FUNDING CIRCLE)",AUGUST,1.0
"FC MARKETPLACE, LLC (DBA FUNDING CIRCLE)",JULY,1.0
"FC MARKETPLACE, LLC (DBA FUNDING CIRCLE)",MAY,1.0
"FINANCIAL PARTNERS CU",APRIL,1.0
"FIREFIGHTERS FIRST FCU",MAY,1.0
"FIRST CHOICE BANK",MAY,1.0
"FIRST CITIZENS BANK OF BUTTE",APRIL,1.0
"FIRST COMMONWEALTH BANK",APRIL,1.0
"FIRST FINANCIAL BANK",APRIL,1.0
"FIRST GENERAL BANK",APRIL,1.0
"FIRST GUARANTY BANK",JUNE,1.0
"FIRST INTERSTATE BANK",APRIL,1.0
"FIRST INTERSTATE BANK",MAY,1.0
"FIRST NATIONAL BANK",APRIL,1.0
"FIRST NATIONAL BANK ALASKA",JULY,1.0
"FIRST NATIONAL BANK ALASKA",JUNE,1.0
"FIRST NATIONAL BANK ALASKA",MAY,1.0
"FIRST NATIONAL BANK TEXAS",APRIL,1.0
"FIRST UNITED BANK AND TRUST COMPANY",APRIL,1.0
"FOUNTAINHEAD SBF LLC",AUGUST,1.0
"FROST BANK",MAY,1.0
"FUNDBOX, INC.",AUGUST,1.0
"FUNDBOX, INC.",JULY,1.0
"FUNDBOX, INC.",JUNE,1.0
FVCBANK,APRIL,1.0
"GEORGIA'S OWN CU",MAY,1.0
"GREAT WESTERN BANK",APRIL,1.0
"GREAT WESTERN BANK",JUNE,1.0
"GREATER NEVADA CU",JUNE,1.0
"HARVEST SMALL BUSINESS FINANCE, LLC",MAY,1.0
"HAWAII CENTRAL FCU",MAY,1.0
"HAWAII COMMUNITY FCU",JUNE,1.0
"HAWAII FIRST FCU",JUNE,1.0
"IDAHO FIRST BANK",MAY,1.0
"ITRIA VENTURES LLC",JULY,1.0
"ITRIA VENTURES LLC",JUNE,1.0
"ITRIA VENTURES LLC",MAY,1.0
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",JULY,1.0
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",JUNE,1.0
"KEYBANK NATIONAL ASSOCIATION",APRIL,1.0
"LIVE OAK BANKING COMPANY",APRIL,1.0
"LIVE OAK BANKING COMPANY",JULY,1.0
"LIVE OAK BANKING COMPANY",MAY,1.0
"MEGA BANK",JUNE,1.0
"MICHIGAN STATE UNIVERSITY FCU",JULY,1.0
"MIDFIRST BANK",APRIL,1.0
"MUFG UNION BANK, NATIONAL ASSOCIATION",MAY,1.0
"NAVY FCU",APRIL,1.0
"NAVY FCU",AUGUST,1.0
"NAVY FCU",JULY,1.0
"NAVY FCU",JUNE,1.0
"NAVY FCU",MAY,1.0
"NBKC BANK",APRIL,1.0
"NBKC BANK",MAY,1.0
"NCMIC FINANCE CORPORATION",JUNE,1.0
"NEWTEK SMALL BUSINESS FINANCE, INC.",APRIL,1.0
"NEWTEK SMALL BUSINESS FINANCE, INC.",AUGUST,1.0
"NEWTON FEDERAL BANK",MAY,1.0
"NORTHWEST FCU",JULY,1.0
"NOTRE DAME FCU",APRIL,1.0
"PACIFIC PREMIER BANK",APRIL,1.0
"PEOPLE'S BANK OF SENECA",MAY,1.0
"PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION",APRIL,1.0
"PHELPS COUNTY BANK",APRIL,1.0
"PINPOINT FCU",MAY,1.0
"PRESTAMOS CDFI, LLC",JULY,1.0
"RADIUS BANK",APRIL,1.0
"RADIUS BANK",AUGUST,1.0
"REDWOOD CU",MAY,1.0
"REGIONS BANK",MAY,1.0
"SMALL BUSINESS BANK",JULY,1.0
"SMALL BUSINESS BANK",MAY,1.0
"SOUTHERNTRUST BANK",MAY,1.0
"SUMMIT BANK",APRIL,1.0
"T BANK, NATIONAL ASSOCIATION",MAY,1.0
"TERRITORIAL SAVINGS BANK",JULY,1.0
"THE CANANDAIGUA NATIONAL BANK AND TRUST COMPANY",JULY,1.0
"TIAA BANK, A DIVISION OF",APRIL,1.0
"TIAA BANK, A DIVISION OF",MAY,1.0
"TRANSPECOS BANKS, SSB.",MAY,1.0
"TRANSPORTATION ALLIANCE BANK, INC. D/B/A TAB BANK, INC.",APRIL,1.0
"TRANSPORTATION ALLIANCE BANK, INC. D/B/A TAB BANK, INC.",MAY,1.0
"TRUIST BANK D/B/A BRANCH BANKING & TRUST CO",APRIL,1.0
"TRUIST BANK D/B/A BRANCH BANKING & TRUST CO",JULY,1.0
"TRUSTMARK NATIONAL BANK",APRIL,1.0
"UMPQUA BANK",AUGUST,1.0
"UMPQUA BANK",MAY,1.0
"UNITED METHODIST FCU",JULY,1.0
"UNITED METHODIST FCU",MAY,1.0
"VALLEY ISLE COMMUNITY FCU",JUNE,1.0
"VALLEY ISLE COMMUNITY FCU",MAY,1.0
"WASHINGTON TRUST BANK",APRIL,1.0
"WELLS FARGO BANK, NATIONAL ASSOCIATION",APRIL,1.0
"WELLS FARGO BANK, NATIONAL ASSOCIATION",AUGUST,1.0
"WELLS FARGO BANK, NATIONAL ASSOCIATION",JULY,1.0
"WELLS FARGO BANK, NATIONAL ASSOCIATION",JUNE,1.0
"WELLS FARGO BANK, NATIONAL ASSOCIATION",MAY,1.0
"ZIONS BANK, A DIVISION OF",JUNE,1.0
